"filename", "language", "TypeScript", "XML", "JSON", "JSON with Comments", "JavaScript", "TypeScript JSX", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\enrico\spotify\.eslintrc.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\enrico\spotify\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 0, 14, 37
"c:\Users\enrico\spotify\app\(site)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 0, 6, 61
"c:\Users\enrico\spotify\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\enrico\spotify\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 9, 8, 41
"c:\Users\enrico\spotify\components\Box.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"c:\Users\enrico\spotify\components\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 10, 52
"c:\Users\enrico\spotify\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 134, 0, 0, 1, 9, 144
"c:\Users\enrico\spotify\components\Library.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 1, 5, 63
"c:\Users\enrico\spotify\components\ListItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 1, 6, 80
"c:\Users\enrico\spotify\components\SidebarItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 2, 44
"c:\Users\enrico\spotify\components\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 70, 0, 0, 0, 4, 74
"c:\Users\enrico\spotify\next.config.mjs", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 1, 2, 5
"c:\Users\enrico\spotify\package-lock.json", "JSON", 0, 0, 4868, 0, 0, 0, 0, 0, 0, 1, 4869
"c:\Users\enrico\spotify\package.json", "JSON", 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\enrico\spotify\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\enrico\spotify\public\next.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\enrico\spotify\public\vercel.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\enrico\spotify\tailwind.config.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\enrico\spotify\tsconfig.json", "JSON with Comments", 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 19, 2, 4902, 26, 8, 521, 23, 10, 13, 77, 5601